study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	library_strategy	library_source	experiment_title	study_title	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_alias	sample_title
PRJEB30958	SAMEA5242745	ERS3050147	ERX3151367	ERR3090540	9606	Homo sapiens	Illumina HiSeq 2500	S44_T2	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/000/ERR3090540/ERR3090540.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/000/ERR3090540/ERR3090540.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090540/mirs_022_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090540/mirs_022_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/000/ERR3090540	ftp.sra.ebi.ac.uk/vol1/err/ERR309/000/ERR3090540			mirs_022	classifiedReads
PRJEB30958	SAMEA5242746	ERS3050148	ERX3151368	ERR3090541	9606	Homo sapiens	Illumina HiSeq 2500	S44_T3	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/001/ERR3090541/ERR3090541.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/001/ERR3090541/ERR3090541.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090541/mirs_023_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090541/mirs_023_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/001/ERR3090541	ftp.sra.ebi.ac.uk/vol1/err/ERR309/001/ERR3090541			mirs_023	classifiedReads
PRJEB30958	SAMEA5242747	ERS3050149	ERX3151369	ERR3090542	9606	Homo sapiens	Illumina HiSeq 2500	S44_T4	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/002/ERR3090542/ERR3090542.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/002/ERR3090542/ERR3090542.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090542/mirs_024_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090542/mirs_024_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/002/ERR3090542	ftp.sra.ebi.ac.uk/vol1/err/ERR309/002/ERR3090542			mirs_024	classifiedReads
PRJEB30958	SAMEA5242748	ERS3050150	ERX3151370	ERR3090543	9606	Homo sapiens	Illumina HiSeq 2500	S46_T2	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/003/ERR3090543/ERR3090543.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/003/ERR3090543/ERR3090543.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090543/mirs_026_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090543/mirs_026_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/003/ERR3090543	ftp.sra.ebi.ac.uk/vol1/err/ERR309/003/ERR3090543			mirs_026	classifiedReads
PRJEB30958	SAMEA5242749	ERS3050151	ERX3151371	ERR3090544	9606	Homo sapiens	Illumina HiSeq 2500	S46_T3	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/004/ERR3090544/ERR3090544.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/004/ERR3090544/ERR3090544.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090544/mirs_027_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090544/mirs_027_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/004/ERR3090544	ftp.sra.ebi.ac.uk/vol1/err/ERR309/004/ERR3090544			mirs_027	classifiedReads
PRJEB30958	SAMEA5242750	ERS3050152	ERX3151372	ERR3090545	9606	Homo sapiens	Illumina HiSeq 2500	S46_T4	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/005/ERR3090545/ERR3090545.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/005/ERR3090545/ERR3090545.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090545/mirs_028_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090545/mirs_028_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/005/ERR3090545	ftp.sra.ebi.ac.uk/vol1/err/ERR309/005/ERR3090545			mirs_028	classifiedReads
PRJEB30958	SAMEA5242751	ERS3050153	ERX3151373	ERR3090546	9606	Homo sapiens	Illumina HiSeq 2500	S46_T5	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/006/ERR3090546/ERR3090546.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/006/ERR3090546/ERR3090546.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090546/mirs_029_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090546/mirs_029_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/006/ERR3090546	ftp.sra.ebi.ac.uk/vol1/err/ERR309/006/ERR3090546			mirs_029	classifiedReads
PRJEB30958	SAMEA5242752	ERS3050154	ERX3151374	ERR3090547	9606	Homo sapiens	Illumina HiSeq 2500	S46_T6	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/007/ERR3090547/ERR3090547.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/007/ERR3090547/ERR3090547.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090547/mirs_030_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090547/mirs_030_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/007/ERR3090547	ftp.sra.ebi.ac.uk/vol1/err/ERR309/007/ERR3090547			mirs_030	classifiedReads
PRJEB30958	SAMEA5242753	ERS3050155	ERX3151375	ERR3090548	9606	Homo sapiens	Illumina HiSeq 2500	S53_T2	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/008/ERR3090548/ERR3090548.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/008/ERR3090548/ERR3090548.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090548/mirs_031_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090548/mirs_031_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/008/ERR3090548	ftp.sra.ebi.ac.uk/vol1/err/ERR309/008/ERR3090548			mirs_031	classifiedReads
PRJEB30958	SAMEA5242754	ERS3050156	ERX3151376	ERR3090549	9606	Homo sapiens	Illumina HiSeq 2500	S53_T3	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/009/ERR3090549/ERR3090549.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/009/ERR3090549/ERR3090549.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090549/mirs_032_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090549/mirs_032_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/009/ERR3090549	ftp.sra.ebi.ac.uk/vol1/err/ERR309/009/ERR3090549			mirs_032	classifiedReads
PRJEB30958	SAMEA5242755	ERS3050157	ERX3151377	ERR3090550	9606	Homo sapiens	Illumina HiSeq 2500	S01_T1	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/000/ERR3090550/ERR3090550.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/000/ERR3090550/ERR3090550.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090550/mirs_034_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090550/mirs_034_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/000/ERR3090550	ftp.sra.ebi.ac.uk/vol1/err/ERR309/000/ERR3090550			mirs_034	classifiedReads
PRJEB30958	SAMEA5242756	ERS3050158	ERX3151378	ERR3090551	9606	Homo sapiens	Illumina HiSeq 2500	S01_T2	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/001/ERR3090551/ERR3090551.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/001/ERR3090551/ERR3090551.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090551/mirs_035_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090551/mirs_035_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/001/ERR3090551	ftp.sra.ebi.ac.uk/vol1/err/ERR309/001/ERR3090551			mirs_035	classifiedReads
PRJEB30958	SAMEA5242757	ERS3050159	ERX3151379	ERR3090552	9606	Homo sapiens	Illumina HiSeq 2500	S01_T3	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/002/ERR3090552/ERR3090552.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/002/ERR3090552/ERR3090552.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090552/mirs_036_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090552/mirs_036_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/002/ERR3090552	ftp.sra.ebi.ac.uk/vol1/err/ERR309/002/ERR3090552			mirs_036	classifiedReads
PRJEB30958	SAMEA5242758	ERS3050160	ERX3151380	ERR3090553	9606	Homo sapiens	Illumina HiSeq 2500	S01_T4	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/003/ERR3090553/ERR3090553.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/003/ERR3090553/ERR3090553.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090553/mirs_037_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090553/mirs_037_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/003/ERR3090553	ftp.sra.ebi.ac.uk/vol1/err/ERR309/003/ERR3090553			mirs_037	classifiedReads
PRJEB30958	SAMEA5242759	ERS3050161	ERX3151381	ERR3090554	9606	Homo sapiens	Illumina HiSeq 2500	S01_T5	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/004/ERR3090554/ERR3090554.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/004/ERR3090554/ERR3090554.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090554/mirs_038_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090554/mirs_038_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/004/ERR3090554	ftp.sra.ebi.ac.uk/vol1/err/ERR309/004/ERR3090554			mirs_038	classifiedReads
PRJEB30958	SAMEA5242760	ERS3050162	ERX3151382	ERR3090555	9606	Homo sapiens	Illumina HiSeq 2500	S01_T6	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/005/ERR3090555/ERR3090555.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/005/ERR3090555/ERR3090555.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090555/mirs_039_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090555/mirs_039_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/005/ERR3090555	ftp.sra.ebi.ac.uk/vol1/err/ERR309/005/ERR3090555			mirs_039	classifiedReads
PRJEB30958	SAMEA5242761	ERS3050163	ERX3151383	ERR3090556	9606	Homo sapiens	Illumina HiSeq 2500	S02_T2	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/006/ERR3090556/ERR3090556.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/006/ERR3090556/ERR3090556.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090556/mirs_042_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090556/mirs_042_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/006/ERR3090556	ftp.sra.ebi.ac.uk/vol1/err/ERR309/006/ERR3090556			mirs_042	classifiedReads
PRJEB30958	SAMEA5242762	ERS3050164	ERX3151384	ERR3090557	9606	Homo sapiens	Illumina HiSeq 2500	S02_T3	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/007/ERR3090557/ERR3090557.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/007/ERR3090557/ERR3090557.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090557/mirs_043_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090557/mirs_043_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/007/ERR3090557	ftp.sra.ebi.ac.uk/vol1/err/ERR309/007/ERR3090557			mirs_043	classifiedReads
PRJEB30958	SAMEA5242763	ERS3050165	ERX3151385	ERR3090558	9606	Homo sapiens	Illumina HiSeq 2500	S02_T5	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/008/ERR3090558/ERR3090558.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/008/ERR3090558/ERR3090558.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090558/mirs_045_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090558/mirs_045_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/008/ERR3090558	ftp.sra.ebi.ac.uk/vol1/err/ERR309/008/ERR3090558			mirs_045	classifiedReads
