study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	library_source	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB21872	SAMEA104168585	ERS1827603	ERX2098317	ERR2039260	9606	Homo sapiens	Illumina HiSeq 2500	S25_T3	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/000/ERR2039260/ERR2039260.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/000/ERR2039260/ERR2039260.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039260/mirs_155_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039260/mirs_155_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/000/ERR2039260	ftp.sra.ebi.ac.uk/vol1/err/ERR203/000/ERR2039260		
PRJEB21872	SAMEA104168586	ERS1827604	ERX2098318	ERR2039261	9606	Homo sapiens	Illumina HiSeq 2500	S35_T0	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/001/ERR2039261/ERR2039261.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/001/ERR2039261/ERR2039261.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039261/mirs_188_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039261/mirs_188_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/001/ERR2039261	ftp.sra.ebi.ac.uk/vol1/err/ERR203/001/ERR2039261		
PRJEB21872	SAMEA104168587	ERS1827605	ERX2098319	ERR2039262	9606	Homo sapiens	Illumina HiSeq 2500	S35_T1	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/002/ERR2039262/ERR2039262.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/002/ERR2039262/ERR2039262.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039262/mirs_189_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039262/mirs_189_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/002/ERR2039262	ftp.sra.ebi.ac.uk/vol1/err/ERR203/002/ERR2039262		
PRJEB21872	SAMEA104168588	ERS1827606	ERX2098320	ERR2039263	9606	Homo sapiens	Illumina HiSeq 2500	S35_T2	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/003/ERR2039263/ERR2039263.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/003/ERR2039263/ERR2039263.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039263/mirs_190_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039263/mirs_190_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/003/ERR2039263	ftp.sra.ebi.ac.uk/vol1/err/ERR203/003/ERR2039263		
PRJEB21872	SAMEA104168589	ERS1827607	ERX2098321	ERR2039264	9606	Homo sapiens	Illumina HiSeq 2500	S35_T3	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/004/ERR2039264/ERR2039264.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/004/ERR2039264/ERR2039264.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039264/mirs_191_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039264/mirs_191_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/004/ERR2039264	ftp.sra.ebi.ac.uk/vol1/err/ERR203/004/ERR2039264		
PRJEB21872	SAMEA104168590	ERS1827608	ERX2098322	ERR2039265	9606	Homo sapiens	Illumina HiSeq 2500	S35_T4	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/005/ERR2039265/ERR2039265.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/005/ERR2039265/ERR2039265.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039265/mirs_012_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039265/mirs_012_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/005/ERR2039265	ftp.sra.ebi.ac.uk/vol1/err/ERR203/005/ERR2039265		
PRJEB21872	SAMEA104168591	ERS1827609	ERX2098323	ERR2039266	9606	Homo sapiens	Illumina HiSeq 2500	S35_T5	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/006/ERR2039266/ERR2039266.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/006/ERR2039266/ERR2039266.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039266/mirs_020_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039266/mirs_020_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/006/ERR2039266	ftp.sra.ebi.ac.uk/vol1/err/ERR203/006/ERR2039266		
PRJEB21872	SAMEA104168592	ERS1827610	ERX2098324	ERR2039267	9606	Homo sapiens	Illumina HiSeq 2500	S35_T6	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/007/ERR2039267/ERR2039267.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/007/ERR2039267/ERR2039267.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039267/mirs_021_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039267/mirs_021_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/007/ERR2039267	ftp.sra.ebi.ac.uk/vol1/err/ERR203/007/ERR2039267		
PRJEB21872	SAMEA104168593	ERS1827611	ERX2098325	ERR2039268	9606	Homo sapiens	Illumina HiSeq 2500	POP1_T0	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/008/ERR2039268/ERR2039268.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/008/ERR2039268/ERR2039268.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039268/mirs_278_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039268/mirs_278_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/008/ERR2039268	ftp.sra.ebi.ac.uk/vol1/err/ERR203/008/ERR2039268		
PRJEB21872	SAMEA104168594	ERS1827612	ERX2098326	ERR2039269	9606	Homo sapiens	Illumina HiSeq 2500	POP1_T1	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/009/ERR2039269/ERR2039269.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/009/ERR2039269/ERR2039269.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039269/mirs_279_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039269/mirs_279_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/009/ERR2039269	ftp.sra.ebi.ac.uk/vol1/err/ERR203/009/ERR2039269		
PRJEB21872	SAMEA104168595	ERS1827613	ERX2098327	ERR2039270	9606	Homo sapiens	Illumina HiSeq 2500	POP1_T2	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/000/ERR2039270/ERR2039270.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/000/ERR2039270/ERR2039270.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039270/mirs_280_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039270/mirs_280_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/000/ERR2039270	ftp.sra.ebi.ac.uk/vol1/err/ERR203/000/ERR2039270		
PRJEB21872	SAMEA104168596	ERS1827614	ERX2098328	ERR2039271	9606	Homo sapiens	Illumina HiSeq 2500	POP2_T1	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/001/ERR2039271/ERR2039271.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/001/ERR2039271/ERR2039271.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039271/mirs_282_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039271/mirs_282_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/001/ERR2039271	ftp.sra.ebi.ac.uk/vol1/err/ERR203/001/ERR2039271		
PRJEB21872	SAMEA104168597	ERS1827615	ERX2098329	ERR2039272	9606	Homo sapiens	Illumina HiSeq 2500	POP3_T0	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/002/ERR2039272/ERR2039272.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/002/ERR2039272/ERR2039272.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039272/mirs_284_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039272/mirs_284_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/002/ERR2039272	ftp.sra.ebi.ac.uk/vol1/err/ERR203/002/ERR2039272		
PRJEB21872	SAMEA104168598	ERS1827616	ERX2098330	ERR2039273	9606	Homo sapiens	Illumina HiSeq 2500	POP3_T1	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/003/ERR2039273/ERR2039273.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/003/ERR2039273/ERR2039273.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039273/mirs_285_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039273/mirs_285_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/003/ERR2039273	ftp.sra.ebi.ac.uk/vol1/err/ERR203/003/ERR2039273		
PRJEB21872	SAMEA104168599	ERS1827617	ERX2098331	ERR2039274	9606	Homo sapiens	Illumina HiSeq 2500	POP3_T2	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/004/ERR2039274/ERR2039274.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/004/ERR2039274/ERR2039274.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039274/mirs_286_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039274/mirs_286_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/004/ERR2039274	ftp.sra.ebi.ac.uk/vol1/err/ERR203/004/ERR2039274		
PRJEB21872	SAMEA104168600	ERS1827618	ERX2098332	ERR2039275	9606	Homo sapiens	Illumina HiSeq 2500	POP4_T2	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/005/ERR2039275/ERR2039275.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/005/ERR2039275/ERR2039275.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039275/mirs_289_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039275/mirs_289_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/005/ERR2039275	ftp.sra.ebi.ac.uk/vol1/err/ERR203/005/ERR2039275		
PRJEB21872	SAMEA104168601	ERS1827619	ERX2098333	ERR2039276	9606	Homo sapiens	Illumina HiSeq 2500	POP5_T2	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/006/ERR2039276/ERR2039276.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/006/ERR2039276/ERR2039276.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039276/mirs_292_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039276/mirs_292_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/006/ERR2039276	ftp.sra.ebi.ac.uk/vol1/err/ERR203/006/ERR2039276		
PRJEB21872	SAMEA104168602	ERS1827620	ERX2098334	ERR2039277	9606	Homo sapiens	Illumina HiSeq 2500	POP6_T0	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/007/ERR2039277/ERR2039277.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/007/ERR2039277/ERR2039277.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039277/mirs_293_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039277/mirs_293_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/007/ERR2039277	ftp.sra.ebi.ac.uk/vol1/err/ERR203/007/ERR2039277		
PRJEB21872	SAMEA104168603	ERS1827621	ERX2098335	ERR2039278	9606	Homo sapiens	Illumina HiSeq 2500	POP6_T1	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/008/ERR2039278/ERR2039278.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/008/ERR2039278/ERR2039278.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039278/mirs_294_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039278/mirs_294_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/008/ERR2039278	ftp.sra.ebi.ac.uk/vol1/err/ERR203/008/ERR2039278		
PRJEB21872	SAMEA104168604	ERS1827622	ERX2098336	ERR2039279	9606	Homo sapiens	Illumina HiSeq 2500	POP6_T2	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/009/ERR2039279/ERR2039279.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/009/ERR2039279/ERR2039279.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039279/mirs_295_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039279/mirs_295_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/009/ERR2039279	ftp.sra.ebi.ac.uk/vol1/err/ERR203/009/ERR2039279		
PRJEB21872	SAMEA104168605	ERS1827623	ERX2098337	ERR2039280	9606	Homo sapiens	Illumina HiSeq 2500	POP7_T1	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/000/ERR2039280/ERR2039280.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/000/ERR2039280/ERR2039280.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039280/mirs_297_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039280/mirs_297_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/000/ERR2039280	ftp.sra.ebi.ac.uk/vol1/err/ERR203/000/ERR2039280		
PRJEB21872	SAMEA104168606	ERS1827624	ERX2098338	ERR2039281	9606	Homo sapiens	Illumina HiSeq 2500	POP7_T2	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/001/ERR2039281/ERR2039281.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/001/ERR2039281/ERR2039281.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039281/mirs_298_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039281/mirs_298_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/001/ERR2039281	ftp.sra.ebi.ac.uk/vol1/err/ERR203/001/ERR2039281		
PRJEB21872	SAMEA104168607	ERS1827625	ERX2098339	ERR2039282	9606	Homo sapiens	Illumina HiSeq 2500	POP8_T2	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/002/ERR2039282/ERR2039282.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/002/ERR2039282/ERR2039282.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039282/mirs_301_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039282/mirs_301_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/002/ERR2039282	ftp.sra.ebi.ac.uk/vol1/err/ERR203/002/ERR2039282		
PRJEB21872	SAMEA104168608	ERS1827626	ERX2098340	ERR2039283	9606	Homo sapiens	Illumina HiSeq 2500	POP9_T1	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/003/ERR2039283/ERR2039283.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/003/ERR2039283/ERR2039283.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039283/mirs_303_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039283/mirs_303_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/003/ERR2039283	ftp.sra.ebi.ac.uk/vol1/err/ERR203/003/ERR2039283		
PRJEB21872	SAMEA104168609	ERS1827627	ERX2098341	ERR2039284	9606	Homo sapiens	Illumina HiSeq 2500	POP9_T2	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/004/ERR2039284/ERR2039284.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/004/ERR2039284/ERR2039284.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039284/mirs_304_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039284/mirs_304_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/004/ERR2039284	ftp.sra.ebi.ac.uk/vol1/err/ERR203/004/ERR2039284		
PRJEB21872	SAMEA104168610	ERS1827628	ERX2098342	ERR2039285	9606	Homo sapiens	Illumina HiSeq 2500	POP10_T1	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/005/ERR2039285/ERR2039285.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/005/ERR2039285/ERR2039285.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039285/mirs_306_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039285/mirs_306_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/005/ERR2039285	ftp.sra.ebi.ac.uk/vol1/err/ERR203/005/ERR2039285		
