study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	library_strategy	library_source	read_count	experiment_title	study_title	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_alias	sample_title
PRJEB13247	SAMEA3914089	ERS1101223	ERX1417611	ERR1346041	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	14649	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346041/ERR1346041.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346041/ERR1346041.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346041/G24_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346041/G24_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1346041	ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1346041			G24	healthy control
PRJEB13247	SAMEA3914090	ERS1101224	ERX1417612	ERR1346042	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	3189	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346042/ERR1346042.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346042/ERR1346042.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346042/G29_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346042/G29_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/002/ERR1346042	ftp.sra.ebi.ac.uk/vol1/err/ERR134/002/ERR1346042			G29	healthy control
PRJEB13247	SAMEA3914094	ERS1101228	ERX1417613	ERR1346043	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	62829	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1346043/ERR1346043.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1346043/ERR1346043.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346043/G5_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346043/G5_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/003/ERR1346043	ftp.sra.ebi.ac.uk/vol1/err/ERR134/003/ERR1346043			G5	healthy control
PRJEB13247	SAMEA3914109	ERS1101243	ERX1417614	ERR1346044	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	6448	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1346044/ERR1346044.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1346044/ERR1346044.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346044/G6_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346044/G6_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/004/ERR1346044	ftp.sra.ebi.ac.uk/vol1/err/ERR134/004/ERR1346044			G6	healthy control
PRJEB13247	SAMEA3914113	ERS1101247	ERX1417615	ERR1346045	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	15871	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1346045/ERR1346045.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1346045/ERR1346045.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346045/G7_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346045/G7_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/005/ERR1346045	ftp.sra.ebi.ac.uk/vol1/err/ERR134/005/ERR1346045			G7	healthy control
PRJEB13247	SAMEA3914051	ERS1101185	ERX1417616	ERR1346046	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	11154	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1346046/ERR1346046.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1346046/ERR1346046.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346046/POP1_T0_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346046/POP1_T0_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/006/ERR1346046	ftp.sra.ebi.ac.uk/vol1/err/ERR134/006/ERR1346046			POP1-T0	post surgery Control
PRJEB13247	SAMEA3914052	ERS1101186	ERX1417617	ERR1346047	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	9591	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1346047/ERR1346047.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1346047/ERR1346047.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346047/POP1_T1_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346047/POP1_T1_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/007/ERR1346047	ftp.sra.ebi.ac.uk/vol1/err/ERR134/007/ERR1346047			POP1-T1	post surgery Control
PRJEB13247	SAMEA3914053	ERS1101187	ERX1417618	ERR1346048	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	14736	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1346048/ERR1346048.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1346048/ERR1346048.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346048/POP1_T2_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346048/POP1_T2_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/008/ERR1346048	ftp.sra.ebi.ac.uk/vol1/err/ERR134/008/ERR1346048			POP1-T2	post surgery Control
PRJEB13247	SAMEA3914054	ERS1101188	ERX1417619	ERR1346049	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	11927	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1346049/ERR1346049.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1346049/ERR1346049.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346049/POP2_T0_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346049/POP2_T0_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/009/ERR1346049	ftp.sra.ebi.ac.uk/vol1/err/ERR134/009/ERR1346049			POP2-T0	post surgery Control
PRJEB13247	SAMEA3914055	ERS1101189	ERX1417620	ERR1346050	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	6862	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1346050/ERR1346050.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1346050/ERR1346050.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346050/POP2_T1_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346050/POP2_T1_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/000/ERR1346050	ftp.sra.ebi.ac.uk/vol1/err/ERR134/000/ERR1346050			POP2-T1	post surgery Control
PRJEB13247	SAMEA3914056	ERS1101190	ERX1417621	ERR1346051	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	6531	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346051/ERR1346051.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346051/ERR1346051.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346051/POP2_T2_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346051/POP2_T2_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1346051	ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1346051			POP2-T2	post surgery Control
PRJEB13247	SAMEA3914076	ERS1101210	ERX1417622	ERR1346052	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	13269	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346052/ERR1346052.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346052/ERR1346052.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346052/POP3_T0_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346052/POP3_T0_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/002/ERR1346052	ftp.sra.ebi.ac.uk/vol1/err/ERR134/002/ERR1346052			POP3-T0	post surgery Control
PRJEB13247	SAMEA3914077	ERS1101211	ERX1417623	ERR1346053	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	6390	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1346053/ERR1346053.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1346053/ERR1346053.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346053/POP3_T1_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346053/POP3_T1_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/003/ERR1346053	ftp.sra.ebi.ac.uk/vol1/err/ERR134/003/ERR1346053			POP3-T1	post surgery Control
PRJEB13247	SAMEA3914078	ERS1101212	ERX1417624	ERR1346054	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	9070	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1346054/ERR1346054.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1346054/ERR1346054.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346054/POP3_T2_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346054/POP3_T2_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/004/ERR1346054	ftp.sra.ebi.ac.uk/vol1/err/ERR134/004/ERR1346054			POP3-T2	post surgery Control
PRJEB13247	SAMEA3914079	ERS1101213	ERX1417625	ERR1346055	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	64141	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1346055/ERR1346055.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1346055/ERR1346055.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346055/POP4_T0_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346055/POP4_T0_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/005/ERR1346055	ftp.sra.ebi.ac.uk/vol1/err/ERR134/005/ERR1346055			POP4-T0	post surgery Control
PRJEB13247	SAMEA3914080	ERS1101214	ERX1417626	ERR1346056	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	14521	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1346056/ERR1346056.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1346056/ERR1346056.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346056/POP4_T1_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346056/POP4_T1_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/006/ERR1346056	ftp.sra.ebi.ac.uk/vol1/err/ERR134/006/ERR1346056			POP4-T1	post surgery Control
PRJEB13247	SAMEA3914081	ERS1101215	ERX1417627	ERR1346057	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	9644	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1346057/ERR1346057.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1346057/ERR1346057.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346057/POP4_T2_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346057/POP4_T2_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/007/ERR1346057	ftp.sra.ebi.ac.uk/vol1/err/ERR134/007/ERR1346057			POP4-T2	post surgery Control
PRJEB13247	SAMEA3914082	ERS1101216	ERX1417628	ERR1346058	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	45883	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1346058/ERR1346058.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1346058/ERR1346058.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346058/POP5_T0_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346058/POP5_T0_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/008/ERR1346058	ftp.sra.ebi.ac.uk/vol1/err/ERR134/008/ERR1346058			POP5-T0	post surgery Control
PRJEB13247	SAMEA3914083	ERS1101217	ERX1417629	ERR1346059	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	9499	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1346059/ERR1346059.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1346059/ERR1346059.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346059/POP5_T1_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346059/POP5_T1_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/009/ERR1346059	ftp.sra.ebi.ac.uk/vol1/err/ERR134/009/ERR1346059			POP5-T1	post surgery Control
PRJEB13247	SAMEA3914084	ERS1101218	ERX1417630	ERR1346060	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	26090	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1346060/ERR1346060.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1346060/ERR1346060.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346060/POP5_T2_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346060/POP5_T2_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/000/ERR1346060	ftp.sra.ebi.ac.uk/vol1/err/ERR134/000/ERR1346060			POP5-T2	post surgery Control
PRJEB13247	SAMEA3914085	ERS1101219	ERX1417631	ERR1346061	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	9077	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346061/ERR1346061.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346061/ERR1346061.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346061/POP7_T0_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346061/POP7_T0_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1346061	ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1346061			POP7-T0	post surgery Control
PRJEB13247	SAMEA3914086	ERS1101220	ERX1417632	ERR1346062	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	8106	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346062/ERR1346062.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346062/ERR1346062.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346062/POP7_T1_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346062/POP7_T1_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/002/ERR1346062	ftp.sra.ebi.ac.uk/vol1/err/ERR134/002/ERR1346062			POP7-T1	post surgery Control
